"Metabolite","Estimate_Intercept","Std_Error_Intercept","df_Intercept","p_value_Intercept","Singular_fit_Intercept","FDR_Intercept","test_type","Compound.Name","CASNumber","Number.Passed","Retention.Time","Measured.Retention.Time","Product.Mass","QualifierMass"
"M.1",5.54458,6.711,40.64,0.4135,FALSE,0.5181,"Intercept","PC(18:3(6Z,9Z,12Z)/18:3(9Z,12Z,15Z))","",104,3.815735,3.92535,778.5403,779.5438
"M.10",-2.75362,7.419,39.98,0.7125,FALSE,0.8142,"Intercept","C27 - 4.9550004","",59,4.955,5.078283,766.5483,767.5506
"M.100",12.89408,5.489,39.8,0.02386,FALSE,0.04596,"Intercept","C256 - 5.267","",28,5.267,5.310517,762.5459,763.5492
"M.101",16.3875,6.784,79,0.01802,TRUE,0.03537,"Intercept","C261 - 7.612","",4,7.612,7.682783,974.729,975.7314
"M.102",35.9206,7.724,40.38,3.516e-05,FALSE,0.000118,"Intercept","C263 - 4.039","",2,4.039,4.124417,894.6011,895.6037
"M.103",46.25427,5.402,39.86,1.427e-10,FALSE,2.969e-09,"Intercept","PGP(18:0/22:4(7Z,10Z,13Z,16Z))","",162,5.249,5.376883,924.568,925.5706
"M.104",34.17248,7.315,39.58,3.414e-05,FALSE,0.000118,"Intercept","Spiramycin 3","24916-52-7",2,4.057,4.116117,916.5727,917.5828
"M.105",-20.17034,7.445,39.16,0.009955,FALSE,0.02071,"Intercept","PI(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:2(9Z,12Z))","",162,3.286539,3.261783,907.5339,908.5366
"M.106",9.2625,8.087,79,0.2555,TRUE,0.3452,"Intercept","C275 - 4.4154997","",42,4.4155,4.315183,789.5288,811.5133
"M.107",-21.69346,6.863,39.61,0.003014,FALSE,0.006965,"Intercept","C287 - 4.015","",35,4.015,4.165883,872.5263,851.5382
"M.11",17.45297,4.397,39.97,0.000292,FALSE,0.0007993,"Intercept","DG(20:5(5Z,8Z,11Z,14Z,17Z)/22:4(7Z,10Z,13Z,16Z)/0:0)","",125,6.176,6.131683,691.5291,692.5318
"M.13",16.52744,6.641,40.35,0.01704,FALSE,0.03408,"Intercept","C30 - 6.218667","",63,6.218667,6.272683,679.5358,680.5069
"M.14",15.23351,8.196,40.32,0.07039,FALSE,0.12,"Intercept","PS(18:0/22:5(7Z,10Z,13Z,16Z,19Z))","",94,5.227001,5.219283,838.5597,860.5428
"M.15",26.83888,6.055,40.51,6.94e-05,FALSE,0.0002187,"Intercept","TG(20:4(5Z,8Z,11Z,14Z)/18:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))[iso3]","",162,8.253104,8.3464,927.7436,929.7501
"M.16",-14.925,4.202,79,0.0006491,TRUE,0.001647,"Intercept","C36 - 3.752","",61,3.752,3.800933,753.5295,754.5332
"M.17",11.575,5.681,79,0.04495,TRUE,0.07931,"Intercept","C40 - 1.857","",2,1.857,NA,209.1196,209.6212
"M.18",33,4.983,79,3.903e-09,TRUE,3.69e-08,"Intercept","C42 - 4.7169995","",162,4.717,4.646966,798.5589,1596.104
"M.19",-22.3125,5.934,79,0.0003242,TRUE,0.0008644,"Intercept","LysoPC(14:0)","",2,1.748,1.760483,468.3089,469.3117
"M.2",-9.14629,7.752,39.72,0.2451,FALSE,0.3398,"Intercept","TG(18:4(6Z,9Z,12Z,15Z)/16:0/18:4(6Z,9Z,12Z,15Z))","",78,7.499647,7.6662,869.6635,864.7059
"M.20",-10.9375,5.759,79,0.06117,TRUE,0.106,"Intercept","C45 - 0.385","",162,0.385,0.3753,166.0868,182.1294
"M.21",1.66875,7.416,79,0.8226,TRUE,0.8911,"Intercept","C46 - 7.487999","",3,7.487999,NA,819.65,839.6744
"M.22",18.9125,4.209,79,2.364e-05,TRUE,8.782e-05,"Intercept","C49 - 5.544839","",162,5.544839,5.401767,817.5961,818.5991
"M.23",42.85,4.971,79,5.382e-13,TRUE,2.799e-11,"Intercept","PE(22:5(7Z,10Z,13Z,16Z,19Z)/dm18:1(9Z))","",156,5.615001,5.683783,776.5617,777.5636
"M.24",-1.81343,6.356,38.97,0.7769,FALSE,0.8772,"Intercept","C51 - 6.288867","",78,6.288867,6.2644,666.5805,668.5832
"M.25",1.7625,6.544,79,0.7884,TRUE,0.8772,"Intercept","TG(15:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","",3,7.814,7.856967,937.727,938.7299
"M.26",-40.78585,5.783,40.57,1.467e-08,FALSE,1.271e-07,"Intercept","PG(O-18:0/22:2(13Z,16Z))","",156,7.41,7.5086,817.6317,819.638
"M.27",4.96875,6.941,79,0.4762,TRUE,0.5826,"Intercept","C59 - 3.705","",17,3.705,3.8507,852.5598,855.7056
"M.28",35.3625,6.226,79,2.158e-07,TRUE,1.247e-06,"Intercept","PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:5(5Z,8Z,11Z,14Z,17Z))","",28,3.774,3.858983,874.5368,876.545
"M.29",13.45822,7.776,40.19,0.09115,FALSE,0.1481,"Intercept","LysoPC(22:5(4Z,7Z,10Z,13Z,16Z))","",84,1.411,1.445283,570.3564,571.3601
"M.3",4.62589,4.505,39.63,0.3108,FALSE,0.404,"Intercept","DG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:3(9Z,12Z,15Z)/0:0)","",102,5.645237,5.73355,663.4979,664.5012
"M.30",-0.73283,5.963,40.29,0.9028,FALSE,0.9528,"Intercept","C66 - 3.886","",109,3.886,3.825817,850.5395,851.5432
"M.31",-9.40969,6.911,40.64,0.1809,FALSE,0.2612,"Intercept","PE(20:4(8Z,11Z,14Z,17Z)/20:3(8Z,11Z,14Z))","",149,4.792,4.688433,790.5408,812.5226
"M.32",1.96433,7.43,40.26,0.7928,FALSE,0.8772,"Intercept","PC(22:5(7Z,10Z,13Z,16Z,19Z)/20:5(5Z,8Z,11Z,14Z,17Z))","",3,4.027,4.1493,876.5526,877.5564
"M.33",46.13279,5.442,39.82,1.868e-10,FALSE,3.238e-09,"Intercept","PE(22:4(7Z,10Z,13Z,16Z)/20:3(8Z,11Z,14Z))","",56,4.479,4.564017,818.5723,819.5755
"M.34",33.71329,5.249,40.43,1.15e-07,FALSE,7.475e-07,"Intercept","DG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:0/0:0)","",118,6.246,6.280983,691.5283,692.5311
"M.35",-11.88999,7.562,39.01,0.1239,FALSE,0.1924,"Intercept","C76 - 7.6298566","",105,7.629857,7.790616,921.706,899.7325
"M.36",24.4375,5.116,79,8.084e-06,TRUE,3.363e-05,"Intercept","C80 - 1.762","",2,1.762,1.80195,425.2695,405.2409
"M.37",-23.87659,5.882,39.98,0.0002225,FALSE,0.0006429,"Intercept","LysoPE(0:0/18:0)","",143,1.872,1.8849,482.3261,483.3297
"M.38",25.0875,4.628,79,6.251e-07,TRUE,2.955e-06,"Intercept","TG(18:3(9Z,12Z,15Z)/18:2(9Z,12Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))[iso6]","",162,7.77,7.8072,947.7128,949.7194
"M.39",39.65143,4.851,37.05,8.141e-10,FALSE,1.058e-08,"Intercept","C84 - 3.5829997","",142,3.583,3.61015,651.5368,652.5398
"M.4",-7.79375,7.048,79,0.2722,TRUE,0.3583,"Intercept","TG(18:4(6Z,9Z,12Z,15Z)/14:0/18:4(6Z,9Z,12Z,15Z))","",2,7.197999,NA,841.6355,819.6486
"M.40",40.6875,5.04,79,6.301e-12,TRUE,1.638e-10,"Intercept","LysoPC(22:6(4Z,7Z,10Z,13Z,16Z,19Z))","",162,1.4,1.36235,590.3234,591.3266
"M.41",4.192,7.684,40.14,0.5884,FALSE,0.6954,"Intercept","TG(18:1(11Z)/20:5(5Z,8Z,11Z,14Z,17Z)/22:5(4Z,7Z,10Z,13Z,16Z))","",159,8.216124,8.321517,953.7587,975.7431
"M.42",11.78428,6.762,36.69,0.08976,FALSE,0.1481,"Intercept","TG(22:5(4Z,7Z,10Z,13Z,16Z)/18:3(6Z,9Z,12Z)/18:3(9Z,12Z,15Z))","",160,8.053249,8.097517,925.7282,927.7324
"M.43",18.72957,6.088,40.39,0.003752,FALSE,0.008302,"Intercept","TG(20:5(5Z,8Z,11Z,14Z,17Z)/18:3(9Z,12Z,15Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))[iso6]","",7,7.58225,7.633017,947.7131,949.7188
"M.44",5.1625,5.374,79,0.3397,TRUE,0.4308,"Intercept","TG(20:5(5Z,8Z,11Z,14Z,17Z)/20:5(5Z,8Z,11Z,14Z,17Z)/20:5(5Z,8Z,11Z,14Z,17Z))","",158,7.577,7.608133,945.6976,947.7076
"M.45",15.39388,7.22,40.1,0.03919,FALSE,0.07277,"Intercept","TG(22:5(4Z,7Z,10Z,13Z,16Z)/18:0/20:4(8Z,11Z,14Z,17Z))","",156,9.167,9.267083,957.7914,959.797
"M.46",-0.075,6.232,79,0.9904,TRUE,0.9926,"Intercept","LysoPC(P-16:0)","",155,1.549,1.669233,480.3478,481.3499
"M.47",11.4625,7.248,79,0.1178,TRUE,0.1856,"Intercept","TG(20:4(5Z,8Z,11Z,14Z)/20:5(5Z,8Z,11Z,14Z,17Z)/22:5(7Z,10Z,13Z,16Z,19Z))","",121,7.926,7.89015,975.743,977.7545
"M.48",-23.62126,6.945,40.2,0.001528,FALSE,0.003784,"Intercept","C99 - 5.256438","",161,5.256438,5.327116,772.5277,789.5551
"M.5",-7.425,5.836,79,0.207,TRUE,0.2949,"Intercept","C8 - 4.8975625","",162,4.897563,5.020217,780.5542,801.5516
"M.50",19.2375,6.709,79,0.005306,TRUE,0.0115,"Intercept","TG(20:2n6/18:0/20:5(5Z,8Z,11Z,14Z,17Z))","",65,8.448,8.578633,941.7583,943.7641
"M.51",10.79204,7.143,40.11,0.1387,FALSE,0.2121,"Intercept","PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:2(13Z,16Z))","",81,5.141999,5.11145,844.5861,845.5876
"M.52",27.75093,6.96,39.04,0.0002843,FALSE,0.000799,"Intercept","PE(22:4(7Z,10Z,13Z,16Z)/22:5(4Z,7Z,10Z,13Z,16Z))","",3,4.307,NA,842.5695,844.574
