"Metabolite","type","Estimate_Age","p_value_Age","Estimate_Sex","p_value_Sex","Estimate_Metabolite","Std_Error_Metabolite","df_Metabolite","p_value_Metabolite","Singular_fit_Metabolite","FDR_Metabolite","Compound.Name","CASNumber","Number.Passed","Retention.Time","Measured.Retention.Time","Product.Mass","QualifierMass"
"M.1","SBP",0.0498,0.7059,-3.2168,0.2723,-0.0121,0.0258,61,0.639,"TRUE",0.9759918,"PC(18:3(6Z,9Z,12Z)/18:3(9Z,12Z,15Z))","",104,3.815735,3.92535,778.5403,779.5438
"M.1","DBP",-0.018,0.8218,-0.6309,0.7214,0.0035,0.0156,61,0.8211,"TRUE",0.9851732,"PC(18:3(6Z,9Z,12Z)/18:3(9Z,12Z,15Z))","",104,3.815735,3.92535,778.5403,779.5438
"M.1","Insulin",-0.023,0.7166,-0.0849,0.951,0.0153,0.0126,75,0.2287,"TRUE",0.9457531,"PC(18:3(6Z,9Z,12Z)/18:3(9Z,12Z,15Z))","",104,3.815735,3.92535,778.5403,779.5438
"M.1","Chol_T",-0.3322,0.2383,-3.3263,0.5817,0.0606,0.0494,73.03,0.2242,"FALSE",0.9457531,"PC(18:3(6Z,9Z,12Z)/18:3(9Z,12Z,15Z))","",104,3.815735,3.92535,778.5403,779.5438
"M.1","TG",-0.2608,0.619,-14.5678,0.2013,0.0336,0.1004,76,0.7385,"TRUE",0.9759918,"PC(18:3(6Z,9Z,12Z)/18:3(9Z,12Z,15Z))","",104,3.815735,3.92535,778.5403,779.5438
"M.1","LDL",-0.2727,0.2021,-3.3064,0.4731,0.0298,0.0407,76,0.4672,"TRUE",0.9457531,"PC(18:3(6Z,9Z,12Z)/18:3(9Z,12Z,15Z))","",104,3.815735,3.92535,778.5403,779.5438
"M.1","HDL",0.0062,0.9405,3.0759,0.09045,0.0237,0.0154,68.45,0.1271,"FALSE",0.9457531,"PC(18:3(6Z,9Z,12Z)/18:3(9Z,12Z,15Z))","",104,3.815735,3.92535,778.5403,779.5438
"M.1","CRP",4e-04,0.9838,-0.2498,0.5735,-3e-04,0.004,75,0.9486,"TRUE",0.9996524,"PC(18:3(6Z,9Z,12Z)/18:3(9Z,12Z,15Z))","",104,3.815735,3.92535,778.5403,779.5438
"M.1","ApoB",-0.1315,0.4283,-3.1676,0.3797,0.0212,0.0292,74.85,0.4701,"FALSE",0.9457531,"PC(18:3(6Z,9Z,12Z)/18:3(9Z,12Z,15Z))","",104,3.815735,3.92535,778.5403,779.5438
"M.1","HDL_LDL",9e-04,0.4202,0.0338,0.1436,0,2e-04,67.92,0.9175,"FALSE",0.9996524,"PC(18:3(6Z,9Z,12Z)/18:3(9Z,12Z,15Z))","",104,3.815735,3.92535,778.5403,779.5438
